oco_id;codigo_ocorrencia2;aeronave_fatalidades_total
1245;47132;0
1246;47133;0
1247;47134;2
1248;47138;0
1249;47142;10
1250;47143;0
1251;47144;0
1252;47145;0
1253;47146;0
1254;47153;0
1255;47154;0
1256;47155;0
1257;47156;0
1258;47158;0
1259;47159;0
1260;47200;0
1261;47201;0
1262;47207;0
1263;47208;0
1264;47209;0
1265;47210;0
1266;47211;0
1267;47213;0
1268;47217;0
1269;47219;0
1270;47245;0
1271;47245;0
1272;47246;0
1273;47296;1
1274;47297;0
1275;47298;0
1276;47299;0
1277;47300;0
1278;47302;0
1279;47304;0
1280;47305;0
1281;47309;0
1282;47310;0
1283;47311;0
1284;47312;0
1285;47313;0
1286;47314;0
1287;47332;0
1288;47333;0
1289;47334;0
1290;47339;0
1291;47351;0
1292;47353;0
1293;47354;0
1294;47422;0
1295;47423;0
1296;47432;0
1297;47433;0
1298;47434;0
1299;47435;0
1300;47436;0
1301;47437;0
1302;47647;0
1303;47648;0
1304;47649;0
1305;47650;1
1306;47651;2
1307;47652;0
1308;47659;0
1309;47661;1
1310;47665;0
1311;47674;0
1312;47675;0
1313;47694;0
1314;47697;0
1315;47698;0
1316;47699;0
1317;47704;0
1318;47707;0
1319;47709;0
1320;47755;0
1321;47759;0
1322;47761;0
1323;47762;0
1324;47763;0
1325;47765;0
1326;47766;0
1327;47767;0
1328;47768;0
1329;47769;0
1330;47872;1
1331;47876;0
1332;47879;2
1333;47888;0
1334;47894;0
1335;47901;0
1336;47926;0
1337;47936;0
1338;47938;0
1339;47939;0
1340;47965;0
1341;47966;1
1342;47979;0
1343;47980;0
1344;47981;1
1345;47983;0
1346;47992;0
1347;47998;0
1348;48012;0
1349;48013;0
1350;48014;0
1351;48053;0
1352;48055;0
1353;48058;0
1354;48064;0
1355;48074;0
1356;48078;0
1357;48083;0
1358;48091;0
1359;48096;0
1360;48102;0
1361;48103;0
1362;48104;0
1363;48105;0
1364;48107;0
1365;48109;0
1366;48110;0
1367;48112;0
1368;48113;0
1369;48114;0
1370;48142;0
1371;48144;0
1372;48145;0
1373;48159;0
1374;48162;0
1375;48163;0
1376;48172;0
1377;48219;0
1378;48429;0
1379;48438;0
1380;48442;0
