codigo_ocorrencia2;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;matricula;assentos
44999;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;SUBSTANCIAL;0;PTERB;6
45001;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;NENHUM;0;PPPJL;106
45003;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PRIOC;5
45005;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PTVPC;6
45007;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PRJAL;6
45008;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PTWHG;10
45010;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;LEVE;0;PPMTJ;6
45011;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PUILT;2
45012;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PPFLH;2
45013;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PTHTP;15
45016;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PRJPK;9
45025;ANÁPOLIS;ANÁPOLIS;SUBIDA;SUBSTANCIAL;0;PTLBT;2
45036;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTZDO;4
45045;JATAÍ;JATAÍ;CRUZEIRO;DESTRUÍDA;1;PTGCC;6
45047;SANTA GENOVEVA/GOIÂNIA;FORMOSA;DECOLAGEM;DESTRUÍDA;0;PTRBT;6
45048;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;SUBSTANCIAL;0;PRRGB;2
45049;FORA DE AERODROMO;BORBA;CRUZEIRO;SUBSTANCIAL;0;PTUPB;1
45050;CASA BRANCA;CASA BRANCA;OUTRA FASE;DESTRUÍDA;0;PTWCP;1
45051;RIO CLARO;RIO CLARO;APROXIMAÇÃO FINAL;DESTRUÍDA;1;PTPFH;1
45052;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PTIJH;6
45053;SÍLVIO NAME JÚNIOR;FAZENDA FORTALEZA DO GUAPORÉ;SUBIDA;SUBSTANCIAL;3;PPKST;6
45054;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;DESTRUÍDA;2;PTAVK;4
45055;ITUVERAVA;FAZENDA MOSQUITO;POUSO;SUBSTANCIAL;0;PTXVV;6
